PlateID,well,LabID,SampleType,Collector,YYYY,easting,northing,zone,Priority,Project,Elevation_m,conc_ng_ul
WSU-1,A1,839311556,Oral Swab,FS,2016,667659,4424303,10N,1,hybrid,1095.99707,6.3
WSU-1,B1,B2,Oral Swab,Brown,2015,658747,4422787,10N,1,geneflow,1902.760132,2.653333333
WSU-1,C1,B5,Oral Swab,Brown,2015,671917,4414611,10N,2,,1566.312378,3.253333333
WSU-1,D1,Bean1,Oral Swab,WSU,2016,663597.0615,4426278.666,10N,1,hybrid/geneflow,1323.144165,3.666666667
WSU-1,E1,Bean10,Oral Swab,WSU,2016,663212.8708,4426862.215,10N,1,hybrid/geneflow,1378.809326,3.64
WSU-1,F1,Bean11,Oral Swab,WSU,2016,663215.0547,4426840.051,10N,1,hybrid/geneflow,1375.248169,2.76
WSU-1,G1,Bean14,Oral Swab,WSU,2016,663232.28,4426793.779,10N,1,hybrid/geneflow,1371.640625,4.4
WSU-1,H1,Bean15,Oral Swab,WSU,2016,663292.3954,4426739.542,10N,1,hybrid/geneflow,1367.909912,4.47
WSU-1,A2,Bean16,Oral Swab,WSU,2016,663556.6277,4426207.945,10N,1,hybrid/geneflow,1310.988281,6.08
WSU-1,B2,Bean17,Oral Swab,WSU,2016,663179.8935,4426925.918,10N,1,hybrid/geneflow,1386.907837,3.293333333
WSU-1,C2,Bean18,Oral Swab,WSU,2016,663211.755,4426874.407,10N,1,hybrid/geneflow,1381.338135,3.893333333
WSU-1,D2,Bean19,Oral Swab,WSU,2016,663216.1439,4426868.948,10N,1,hybrid/geneflow,1381.338135,4.39
WSU-1,E2,Bean2,Oral Swab,WSU,2016,663581.9702,4426285.116,10N,1,hybrid/geneflow,1319.272583,2.96
WSU-1,F2,Bean20,Oral Swab,WSU,2016,663219.0628,4426852.353,10N,1,hybrid/geneflow,1380.380615,6.746666667
WSU-1,G2,Bean21,Oral Swab,WSU,2016,663214.0579,4426846.693,10N,1,hybrid/geneflow,1376.793335,6.76
WSU-1,H2,Bean22,Oral Swab,WSU,2016,663218.5658,4426835.684,10N,1,hybrid/geneflow,1378.082275,8.56
WSU-1,A3,Bean23,Oral Swab,WSU,2016,663277.4728,4426758.101,10N,1,hybrid/geneflow,1367.938721,6.08
WSU-1,B3,Bean24,Oral Swab,WSU,2016,663297.2606,4426711.884,10N,1,hybrid/geneflow,1365.049683,6.266666667
WSU-1,C3,Bean25,Oral Swab,WSU,2016,663309.4308,4426702.15,10N,1,hybrid/geneflow,1364.381836,2.946666667
WSU-1,D3,Bean26,Oral Swab,WSU,2016,663332.2367,4426594.919,10N,1,hybrid/geneflow,1356.613403,5.706666667
WSU-1,E3,Bean27,Oral Swab,WSU,2016,662872.1345,4427194.29,10N,1,hybrid/geneflow,1414.294312,6.506666667
WSU-1,F3,Bean28,Oral Swab,WSU,2016,662846.1573,4427322.332,10N,1,hybrid/geneflow,1430.16626,2.86
WSU-1,G3,Bean29,Oral Swab,WSU,2016,662844.9589,4427342.407,10N,1,hybrid/geneflow,1430.024414,5.76
WSU-1,H3,Bean3,Oral Swab,WSU,2016,663296.678,4426547.848,10N,1,hybrid/geneflow,1362.391479,6.56
WSU-1,A4,Bean21,Oral Swab,WSU,2016,663214.0579,4426846.693,10N,1,hybrid/geneflow,1376.793335,6.76
WSU-1,B4,Bean30,Oral Swab,WSU,2016,662848.3339,4427356.36,10N,1,hybrid/geneflow,1429.633057,4.16
WSU-1,C4,Bean31,Oral Swab,WSU,2016,662847.7337,4427360.456,10N,1,hybrid/geneflow,1429.633057,3.573333333
WSU-1,D4,Bean32,Oral Swab,WSU,2016,662861.0986,4427406.607,10N,1,hybrid/geneflow,1433.220703,5.91
WSU-1,E4,Bean33,Oral Swab,WSU,2016,662865.1831,4427407.36,10N,1,hybrid/geneflow,1433.220703,6.13
WSU-1,F4,Bean34,Oral Swab,WSU,2016,662866.7841,4427412.392,10N,1,hybrid/geneflow,1433.549194,8.35
WSU-1,G4,Bean35,Oral Swab,WSU,2016,662865.259,4427407.806,10N,1,hybrid/geneflow,1433.220703,3.41
WSU-1,H4,Bean36,Oral Swab,WSU,2016,662869.6045,4427408.343,10N,1,hybrid/geneflow,1433.549194,9.59
WSU-1,A5,Bean37,Oral Swab,WSU,2016,662864.2576,4427502.512,10N,1,hybrid/geneflow,1440.37561,4.47
WSU-1,B5,Bean38,Oral Swab,WSU,2016,662861.5962,4427507.119,10N,1,hybrid/geneflow,1441.881592,4.21
WSU-1,C5,Bean39,Oral Swab,WSU,2016,662854.5834,4427383.702,10N,1,hybrid/geneflow,1431.558594,3.093333333
WSU-1,D5,Bean40,Oral Swab,WSU,2016,662856.8961,4427383.418,10N,1,hybrid/geneflow,1431.558594,4.55
WSU-1,E5,Bean41,Oral Swab,WSU,2016,662843.3886,4427343.928,10N,1,hybrid/geneflow,1428.741577,3.773333333
WSU-1,F5,Bean42,Oral Swab,WSU,2016,661991.2935,4428130.864,10N,1,geneflow,1532.87207,3.38
WSU-1,G5,Bean43,Oral Swab,WSU,2016,661991.2935,4428130.864,10N,1,geneflow,1532.87207,5
WSU-1,H5,Bean44,Oral Swab,WSU,2016,662002.0926,4428137.202,10N,1,geneflow,1533.960327,6.61
WSU-1,A6,Bean46,Oral Swab,FS,2016,663491,4425779,10N,1,hybrid/geneflow,1242.222412,3.44
WSU-1,B6,Bean47,Oral Swab,FS,2016,663479,4425787,10N,1,hybrid/geneflow,1240.853027,3.373333333
