"",E-1,E-2,N-Fea-35,N-Fea-36,N-Fea-37,N-Fea-38,N-Fea-39,NE-10,NE-11,NE-12,NE-13,NE-14,NE-15,NE-16,NE-17,NE-18,NE-19,NE-20,NE-21,NE-22,NE-23,NE-24,NE-25,NE-26,NE-27,NE-28,NE-29,NE-3,NE-30,NE-31,NE-32,NE-33,NE-34,NE-4,NE-5,NE-6,NE-7,NE-8,NE-9,NW-40,NW-41,NW-42,NW-43,NW-44,NW-45,NW-46,NW-47,NW-48,NW-49,NW-50,NW-51,NW-52,NW-53,NW-54,NW-55,NW-56,NW-57,SW-58,SW-59,W-60,W-61,W-62,W-63
E-1,0,0.205438,0.272841,0.277524,0.29461,0.288986,0.28795,0.203563,0.212,0.261146,0.261806,0.237049,0.242961,0.256433,0.253242,0.25372,0.231245,0.231072,0.271868,0.233697,0.253345,0.232845,0.265293,0.258375,0.239314,0.251866,0.270738,0.235339,0.24975,0.246352,0.268584,0.269911,0.272073,0.258331,0.251498,0.286908,0.24898,0.264656,0.17091,0.277241,0.290694,0.279385,0.270435,0.273856,0.27807,0.343517,0.326276,0.293697,0.294927,0.296895,0.303622,0.24865,0.274776,0.280234,0.269737,0.264765,0.290001,0.370913,0.359227,0.314743,0.364531,0.350637,0.340481
E-2,0.205438,0,0.288196,0.302047,0.315312,0.300345,0.330344,0.287466,0.289311,0.301147,0.306732,0.288957,0.307473,0.303215,0.301824,0.311485,0.282419,0.286807,0.320151,0.292793,0.306943,0.290852,0.304141,0.296337,0.285796,0.302545,0.306975,0.285391,0.298597,0.290816,0.318441,0.316506,0.319417,0.320602,0.308172,0.338483,0.306813,0.314337,0.258875,0.296129,0.309325,0.296901,0.289509,0.29493,0.297641,0.359906,0.347177,0.304817,0.313297,0.308514,0.297193,0.26333,0.295035,0.301481,0.28729,0.276665,0.313284,0.376255,0.358391,0.318599,0.372326,0.355622,0.350035
N-Fea-35,0.272841,0.288196,0,0.006853,0.016606,0.014119,0.18755,0.265293,0.273109,0.232629,0.229512,0.239863,0.244943,0.255687,0.243327,0.258773,0.232094,0.232541,0.257143,0.240994,0.248784,0.24999,0.232017,0.195547,0.257522,0.256983,0.239126,0.204699,0.216505,0.218734,0.235439,0.239906,0.236288,0.240711,0.234536,0.242277,0.236557,0.232491,0.264973,0.227779,0.244426,0.235767,0.229286,0.230693,0.230478,0.288315,0.275262,0.252556,0.250794,0.240896,0.234459,0.204853,0.228705,0.231058,0.22303,0.216658,0.233325,0.338441,0.320213,0.274157,0.320818,0.312134,0.303774
N-Fea-36,0.277524,0.302047,0.006853,0,0.016184,0.014632,0.193299,0.271338,0.278006,0.241554,0.237447,0.24789,0.24886,0.265618,0.252973,0.268637,0.245744,0.236327,0.26685,0.249355,0.257501,0.252864,0.239932,0.20758,0.264207,0.262574,0.246952,0.210501,0.221047,0.221565,0.242406,0.246382,0.248755,0.24415,0.244002,0.254058,0.238854,0.238184,0.27068,0.235841,0.252726,0.244539,0.237514,0.239494,0.23996,0.301987,0.285485,0.26262,0.261728,0.247059,0.242339,0.217244,0.240537,0.239393,0.232289,0.229384,0.244482,0.351001,0.33144,0.283214,0.334469,0.322173,0.312879
N-Fea-37,0.29461,0.315312,0.016606,0.016184,0,0.00763,0.193761,0.284057,0.292253,0.248544,0.240619,0.2536,0.263912,0.27359,0.265204,0.272102,0.256855,0.243691,0.272612,0.252663,0.266863,0.265255,0.25168,0.209106,0.280373,0.272452,0.258684,0.207047,0.238596,0.242735,0.256728,0.254947,0.25705,0.261465,0.257721,0.226864,0.254075,0.248182,0.283237,0.236559,0.253699,0.249359,0.238544,0.243383,0.242575,0.303207,0.287593,0.261578,0.26021,0.2378,0.253715,0.218507,0.243533,0.240427,0.234315,0.236777,0.242946,0.359154,0.33983,0.295515,0.340028,0.328917,0.320228
N-Fea-38,0.288986,0.300345,0.014119,0.014632,0.00763,0,0.196853,0.27988,0.287137,0.243169,0.235678,0.249789,0.258435,0.258875,0.251238,0.263274,0.242309,0.242171,0.260901,0.245557,0.255667,0.26448,0.24467,0.212698,0.268397,0.268256,0.244819,0.212051,0.230872,0.237528,0.235704,0.248353,0.243155,0.253325,0.243901,0.237074,0.249623,0.241857,0.281545,0.232394,0.247317,0.243142,0.23521,0.239221,0.233177,0.295241,0.281983,0.260738,0.255745,0.244492,0.243293,0.214205,0.234219,0.235125,0.231821,0.227299,0.235568,0.348619,0.33294,0.288173,0.330529,0.322579,0.316181
N-Fea-39,0.28795,0.330344,0.18755,0.193299,0.193761,0.196853,0,0.252614,0.265096,0.228915,0.223005,0.230853,0.234397,0.259206,0.252574,0.250166,0.232912,0.224872,0.268221,0.229427,0.245154,0.250119,0.225756,0.213596,0.26922,0.2672,0.250994,0.203693,0.223273,0.222741,0.242152,0.232116,0.242892,0.232242,0.232154,0.238317,0.228703,0.226813,0.257295,0.182332,0.196103,0.198825,0.191799,0.186972,0.186724,0.279708,0.251988,0.232615,0.202285,0.211968,0.281136,0.154919,0.165152,0.16207,0.178763,0.186991,0.193653,0.36649,0.352398,0.298953,0.348056,0.337043,0.323782
NE-10,0.203563,0.287466,0.265293,0.271338,0.284057,0.27988,0.252614,0,0.09566,0.187751,0.187637,0.137059,0.152178,0.165966,0.1667,0.157207,0.132366,0.135064,0.188424,0.135298,0.157378,0.154941,0.191588,0.214181,0.168807,0.18597,0.194218,0.154439,0.173655,0.173487,0.198833,0.192996,0.199944,0.167294,0.165792,0.209797,0.158375,0.190495,0.118582,0.258132,0.270936,0.261238,0.248791,0.254556,0.257847,0.338268,0.320163,0.28054,0.275394,0.28263,0.315802,0.226081,0.254432,0.254303,0.247361,0.242469,0.269902,0.387847,0.373759,0.326177,0.373942,0.364136,0.352545
NE-11,0.212,0.289311,0.273109,0.278006,0.292253,0.287137,0.265096,0.09566,0,0.205416,0.200792,0.154224,0.168223,0.180448,0.180766,0.169417,0.146595,0.156655,0.195527,0.151464,0.169757,0.171322,0.208614,0.23233,0.173958,0.19513,0.210223,0.170355,0.187109,0.187787,0.207027,0.211339,0.214374,0.181777,0.177774,0.231263,0.176362,0.203403,0.132533,0.264865,0.275858,0.267898,0.25813,0.263365,0.267795,0.339607,0.322572,0.289627,0.281898,0.292923,0.319844,0.235733,0.261632,0.264976,0.257316,0.252771,0.278704,0.387166,0.37668,0.329687,0.378181,0.366047,0.357168
NE-12,0.261146,0.301147,0.232629,0.241554,0.248544,0.243169,0.228915,0.187751,0.205416,0,0.074561,0.122707,0.145802,0.151525,0.153121,0.140057,0.118621,0.121942,0.180508,0.11937,0.136805,0.174728,0.10716,0.161382,0.169621,0.192898,0.114047,0.131404,0.10074,0.101988,0.115873,0.116058,0.125513,0.140759,0.133374,0.194651,0.135469,0.140007,0.194225,0.2285,0.241693,0.235839,0.221172,0.228872,0.228752,0.308769,0.290643,0.254792,0.246261,0.256705,0.276386,0.19749,0.220745,0.228404,0.219125,0.210305,0.243697,0.361503,0.351044,0.299458,0.350878,0.342112,0.332357
