siteID,Locality,River,Site,clade,admix_orig,lat,lon,HUC_6,county,n_samples
1,SFA-CAMI,SFA,CAMI,East,Unknown,38.811511,-120.57871,180201,El Dorado,6
2,STAN-RoseCk,STAN,RoseCk,East,East,38.10419846,-120.3460007,180400,Tuolumne,2
3,TUO-Clavey,TUO,Clavey,East,East,37.866427,-120.113357,180400,Tuolumne,4
4,BEAR,BEAR,NA,North-East,North-East,39.17484,-120.899775,180201,Nevada,6
5,BEAR-GRHN,BEAR,GRHN,North-East,North-East,39.232063,-120.901893,180201,Nevada,6
6,BEAR-STH2,BEAR,STH2,North-East,North-East,39.19444,-120.88778,180201,Nevada,6
7,BEAR-STHA,BEAR,STHA,North-East,North-East,39.18833,-120.8981,180201,Nevada,3
8,BEAR-STHC,BEAR,STHC,North-East,North-East,39.202307,-120.875371,180201,Nevada,10
9,DEER-ClearCk,DEER,ClearCk,North-East,North-East,39.18287,-121.14099,180201,Nevada,3
10,DEER-CLEC,DEER,CLEC,North-East,North-East,39.18287,-121.14099,180201,Nevada,2
11,MFA-AMEC,MFA,AMEC,North-East,North-East,38.933963,-120.943562,180201,El Dorado,6
12,MFA-GASC,MFA,GASC,North-East,North-East,38.966512,-120.932521,180201,Placer,6
13,MFA-TODC,MFA,TODC,North-East,North-East,38.963848,-120.921578,180201,Placer,9
14,MFA-US-R,MFA,US,North-East,North-East,39.007542,-120.731645,180201,Placer,1
15,MFY-OREGCk,MFY,OREGCk,North-East,North-East,39.441876,-121.057534,180201,Nevada,10
16,MFY-US-OH,MFY,US,North-East,North-East,39.413048,-120.990346,180201,Nevada,10
17,NFA,NFA,NA,North-East,North-East,39.11115,-120.9168,180201,Placer,11
18,NFA-BUNC,NFA,BUNC,North-East,North-East,39.037618,-120.91028,180201,Placer,10
19,NFA-EUCHDS,NFA,EUCHDS,North-East,North-East,39.18492,-120.76204,180201,Placer,5
20,NFA-EUCHUS,NFA,EUCHUS,North-East,North-East,39.18444,-120.75049,180201,Placer,4
21,NFA-INDC,NFA,INDC,North-East,North-East,39.056651,-120.908539,180201,Placer,10
22,NFA-NFNFA,NFA,NFNFA,North-East,North-East,39.18839,-120.75921,180201,Placer,2
23,NFA-POND,NFA,POND,North-East,North-East,38.999947,-120.940596,180201,Placer,5
24,NFA-ROBR,NFA,ROBR,North-East,North-East,39.104505,-120.926715,180201,Placer,10
25,NFA-SAIC,NFA,SAIC,North-East,North-East,39.216943,-120.495953,180201,Placer,5
26,NFA-SHIC,NFA,SHIC,North-East,North-East,39.04073,-120.901354,180201,Placer,10
27,NFA-SLAR,NFA,SLAR,North-East,North-East,39.098653,-120.925481,180201,Placer,8
28,NFMFA-SC,NFMFA,SC,North-East,North-East,39.022372,-120.736932,180201,Placer,10
29,NFY,NFY,NA,North-East,North-East,39.511905,-120.977379,180201,Sierra,10
30,NFY-SLATE,NFY,SLATE,North-East,North-East,39.69219117,-120.9399075,180201,Plumas,1
31,NFY-SLATE-CGRav,NFY,SLATE,North-East,North-East,39.68912801,-120.9388908,180201,Plumas,3
32,NFY-SLATE-Onion,NFY,SLATE,North-East,North-East,39.63413841,-121.039996,180201,Plumas,2
33,RUB-LC-US,RUB,LC,North-East,North-East,38.988871,-120.689958,180201,Placer,8
34,RUB-USPH,RUB,USPH,North-East,North-East,38.999276,-120.723327,180201,Placer,10
35,SFY,SFY,NA,North-East,North-East,39.353865,-120.734188,180201,Nevada,1
36,SFY-FallCk,SFY,FallCk,North-East,North-East,39.35532,-120.73704,180201,Nevada,5
37,SFY-LOGA,SFY,LOGA,North-East,North-East,39.36914,-120.85258,180201,Nevada,4
38,SFY-MCKI,SFY,MCKI,North-East,North-East,39.36805,-120.83537,180201,Nevada,2
39,SFY-MISC,SFY,MISC,North-East,North-East,39.360961,-120.88138,180201,Nevada,6
40,SFY-RockCk,SFY,RockCk,North-East,North-East,39.32983398,-120.9863358,180201,Nevada,3
41,SFY-Scotchman,SFY,Scotchman,North-East,North-East,39.316529,-120.773341,180201,Nevada,2
42,SFY-ShadyCk,SFY,ShadyCk,North-East,North-East,39.35433197,-121.0589981,180201,Nevada,10
43,SFY-SpringCk,SFY,SpringCk,North-East,North-East,39.33233261,-120.9889984,180201,Nevada,3
44,SFY-THIMC,SFY,THIMC,North-East,North-East,39.36465,-120.84617,180201,Nevada,1
45,FEA-BeanCk,FEA,BeanCk,North-Feather,North-East,39.97650329,-121.0901315,180201,Plumas,10
46,FEA-SPANISH-BGulch,FEA,SPANISH,North-Feather,North-East,39.95460377,-121.0886507,180201,Plumas,6
47,FEA-SPANISH-RockCk,FEA,SPANISH,North-Feather,North-East,39.94449477,-121.0220767,180201,Plumas,1
48,FEA-SPANISH-SilverCk,FEA,SPANISH,North-Feather,North-East,39.93732788,-121.0904138,180201,Plumas,4
49,FEA-SPANISH-Wapaunsie,FEA,SPANISH,North-Feather,North-East,39.95226011,-121.0372873,180201,Plumas,1
50,FEA-SpanishCk,FEA,SpanishCk,North-Feather,North-East,39.9463667,-121.0325059,180201,Plumas,10
51,NFF-Poe,NFF,Poe,North-Feather,North-East,39.73597951,-121.4702313,180201,Butte,4
52,CHETCO-NookCk,CHETCO,NookCk,North-West,North-West,42.125,-124.187,171003,Curry,1
53,EEL,EEL,NA,North-West,North-West,40.21517973,-123.6302984,180101,Humboldt,10
54,KLAM-Aiken,KLAM,Aiken,North-West,North-West,41.22841534,-123.6523625,180102,Humboldt,2
55,LAGUN-HalleckCk,LAGUN,HalleckCk,North-West,North-West,38.07649994,-122.6679993,180500,Marin,1
56,MAD-MapleCk,MAD,MapleCk,North-West,North-West,40.78112534,-123.8777594,180101,Humboldt,8
57,MAD-RedwoodCk,MAD,RedwoodCk,North-West,North-West,41.29933818,-124.0429943,180101,Humboldt,9
58,MAD-RedwoodCk2,MAD,RedwoodCk2,North-West,North-West,41.23419952,-124.0170975,180101,Humboldt,9
59,MAT-BearRiver,MAT,BearRiver,North-West,North-West,40.46382847,-124.3651821,180101,Humboldt,9
60,MAT-HeadwaterMattole,MAT,HeadwaterMattole,North-West,North-West,40.08991982,-124.0002781,180101,Humboldt,1
61,MAT-LowerMattole,MAT,LowerMattole,North-West,North-West,40.31407987,-124.2830167,180101,Humboldt,5
62,PUT-COLD,PUT,COLD,North-West,North-West,38.49829,-122.09877,180201,Solano,9
63,PUT-WildhorseCk,PUT,WildhorseCk,North-West,North-West,38.48616,-122.0866,180201,Solano,10
64,RUSS-HUNTCK,RUSS,HUNTCK,North-West,North-West,38.80166,-122.87934,180101,Sonoma,1
65,RUSS-MWSprngCk,RUSS,MWSprngCk,North-West,North-West,38.547572,-122.708638,180101,Sonoma,10
66,SFEEL,SFEEL,NA,North-West,North-West,40.01786,-123.789647,180101,Humboldt,1
67,SFEEL-Cedar,SFEEL,Cedar,North-West,North-West,39.757843,-123.636436,180101,Mendocino,10
68,SFEEL-Elder,SFEEL,Elder,North-West,North-West,39.723834,-123.648253,180101,Mendocino,2
69,SMITH,SMITH,NA,North-West,North-West,41.8155288,-124.1003057,180101,Del Norte,1
70,SMITH-HurdygurdyCk,SMITH,HurdygurdyCk,North-West,North-West,41.695,-123.9043,180101,Del Norte,10
71,SSANTIAM,SSANTIAM,NA,North-West,North-West,44.36750031,-122.625,170900,Linn,7
72,SUMPQUA,SUMPQUA,NA,North-West,North-West,42.935,-122.939,171003,Douglas,2
73,TRIN-ConnerCk,TRIN,ConnerCk,North-West,North-West,40.74655811,-123.0607063,180102,Trinity,1
74,TRIN-NFTrinity,TRIN,NFTrinity,North-West,North-West,40.77712814,-123.1317545,180102,Trinity,1
75,TRIN-SFTrinity,TRIN,SFTrinity,North-West,North-West,40.786192,-123.557467,180102,Humboldt,6
76,TRIN-SFTrinity-SandyBar,TRIN,SFTrinity SandyBar,North-West,North-West,40.87796912,-123.6088182,180102,Humboldt,9
77,TRIN-TishTang,TRIN,TishTang,North-West,North-West,41.02207631,-123.6350975,180102,Humboldt,9
78,TRIN-WillowCk,TRIN,WillowCk,North-West,North-West,40.90705367,-123.7072677,180102,Humboldt,1
79,VANDZ-Dinsmore,VANDZ,Dinsmore,North-West,North-West,40.4875864,-123.591766,180101,Humboldt,9
80,VANDZ-Mill,VANDZ,Mill,North-West,North-West,40.4875864,-123.591766,180101,Humboldt,1
81,VANDZ-RootCreek,VANDZ,RootCreek,North-West,North-West,40.47422399,-123.9400251,180101,Humboldt,4
82,VANDZ-Shanty,VANDZ,Shanty,North-West,North-West,40.376699,-123.50614,180101,Trinity,3
83,SANCARP-DutraCk,SANCARP,DutraCk,South-West,South-West,35.80216599,-121.2931671,180600,Monterey,10
84,SANCARP-SanCarpoforoCk,SANCARP,SanCarpoforoCk,South-West,South-West,35.79533386,-121.2786636,180600,San Luis Obispo,2
85,ALA-ArroyoMocho,ALA,ArroyoMocho,West,West,37.60299482,-121.6691202,180500,Alameda,5
86,DRY-Cantua_AL,DRY,Cantua_AL,West,West,36.39509964,-120.5358963,180300,Fresno,1
87,PAJ-ClearCk,PAJ,ClearCk,West,West,36.37111282,-120.7399979,180600,San Benito,3
88,SOQUEL-EBSC,SOQUEL,EBSC,West,West,37.073,-121.927,180600,Santa Cruz,10
