#id tw tp tD ns
results_thetas/ala-arroyomocho_gw_thetasWin.gz.pestPG 0.00702788 0.00664308 -0.0892055 2874927
results_thetas/bear-grhn_gw_thetasWin.gz.pestPG 0.00629814 0.00680528 -0.0425886 3049979
results_thetas/bear_gw_thetasWin.gz.pestPG 0.00799429 0.00834247 -0.0577036 2978028
results_thetas/bear-sth2_gw_thetasWin.gz.pestPG 0.00630428 0.00678916 -0.0482669 3037196
results_thetas/bear-sthc_gw_thetasWin.gz.pestPG 0.00646279 0.00681719 -0.0529001 3043706
results_thetas/calav-esperck_gw_thetasWin.gz.pestPG 0.0110059 0.00909983 -0.189378 1653359
results_thetas/dry-cantua_al_gw_thetasWin.gz.pestPG 0.00974024 0.00885211 -0.138091 2602884
results_thetas/eel_gw_thetasWin.gz.pestPG 0.00956308 0.00871002 -0.0896677 3013109
results_thetas/fea-beanck_gw_thetasWin.gz.pestPG 0.00674029 0.00635579 -0.0843069 2995469
results_thetas/fea-ebnff_gw_thetasWin.gz.pestPG 0.00636872 0.00666967 -0.0539862 2904573
results_thetas/fea-spanish-bgulch_gw_thetasWin.gz.pestPG 0.00584245 0.00620648 -0.0525401 2982437
results_thetas/fea-spanishck_gw_thetasWin.gz.pestPG 0.00596629 0.00629375 -0.053651 3004448
results_thetas/klam-aiken_gw_thetasWin.gz.pestPG 0.00996943 0.00888615 -0.147487 2526832
results_thetas/lagun-halleckck_gw_thetasWin.gz.pestPG 0.0101164 0.00877378 -0.158462 2215258
results_thetas/mad-mapleck_gw_thetasWin.gz.pestPG 0.00865373 0.00822726 -0.0780447 3011075
results_thetas/mad-redwoodck2_gw_thetasWin.gz.pestPG 0.00985261 0.00853373 -0.123255 2994271
results_thetas/mad-redwoodck_gw_thetasWin.gz.pestPG 0.0104134 0.00846877 -0.13893 2984894
results_thetas/mat-bearriver_gw_thetasWin.gz.pestPG 0.00938287 0.00827506 -0.0982581 2966968
results_thetas/mat-headwatermattole_gw_thetasWin.gz.pestPG 0.0126732 0.0103165 -0.183798 2313420
results_thetas/mat-lowermattole_gw_thetasWin.gz.pestPG 0.00872654 0.00856461 -0.0743819 2913429
results_thetas/mfa-amec_gw_thetasWin.gz.pestPG 0.00767029 0.00737326 -0.0880892 2889099
results_thetas/mfa-gasc_gw_thetasWin.gz.pestPG 0.00691731 0.00745724 -0.0412996 2984521
results_thetas/mfa-todc_gw_thetasWin.gz.pestPG 0.00660654 0.00710183 -0.055886 3046314
results_thetas/mfy-oregck_gw_thetasWin.gz.pestPG 0.00690194 0.00697008 -0.0690989 2990408
results_thetas/mfy-us-oh_gw_thetasWin.gz.pestPG 0.00687109 0.00746206 -0.048712 3063200
results_thetas/nfa-bunc_gw_thetasWin.gz.pestPG 0.00628549 0.00693174 -0.0434809 3066477
results_thetas/nfa-euchds_gw_thetasWin.gz.pestPG 0.00609698 0.00664631 -0.0397399 3014302
results_thetas/nfa-euchus_gw_thetasWin.gz.pestPG 0.00611715 0.00655761 -0.0531555 2984275
results_thetas/nfa_gw_thetasWin.gz.pestPG 0.00737499 0.00713098 -0.0712119 3008626
results_thetas/nfa-indc_gw_thetasWin.gz.pestPG 0.00629085 0.00694111 -0.0284214 3054130
results_thetas/nfa-pond_gw_thetasWin.gz.pestPG 0.00697859 0.00716166 -0.0621648 2971288
results_thetas/nfa-robr_gw_thetasWin.gz.pestPG 0.00739294 0.00728755 -0.0778287 3005665
results_thetas/nfa-saic_gw_thetasWin.gz.pestPG 0.00596498 0.00654484 -0.0468037 3027492
results_thetas/nfa-shic_gw_thetasWin.gz.pestPG 0.00722274 0.00735941 -0.0549491 3035261
results_thetas/nfa-slar_gw_thetasWin.gz.pestPG 0.00650692 0.00698766 -0.0362503 3033483
results_thetas/nfmfa-sc_gw_thetasWin.gz.pestPG 0.00631769 0.00656825 -0.0518079 3033504
results_thetas/nfy_gw_thetasWin.gz.pestPG 0.00657418 0.00668061 -0.059106 3010129
