#id tw tp tD ns
results_thetas/ala-arroyomocho_25k_gw_thetasWin.gz.pestPG 0.00702804 0.0066431 -0.0892185 2874927
results_thetas/bear_25k_gw_thetasWin.gz.pestPG 0.00799428 0.00834247 -0.0577026 2978028
results_thetas/bear-grhn_25k_gw_thetasWin.gz.pestPG 0.0062982 0.00680529 -0.0425936 3049979
results_thetas/bear-sth2_25k_gw_thetasWin.gz.pestPG 0.00630428 0.00678917 -0.0482665 3037196
results_thetas/bear-stha_25k_gw_thetasWin.gz.pestPG 0.0088894 0.00968851 -inf 2959583
results_thetas/bear-sthc_25k_gw_thetasWin.gz.pestPG 0.00646276 0.00681719 -0.0528967 3043706
results_thetas/cache-sulphurck_25k_gw_thetasWin.gz.pestPG 0.0102033 0.00961936 -inf 1802482
results_thetas/cache-wfsulphurck_25k_gw_thetasWin.gz.pestPG 0.012056 0.012056 0 1289186
results_thetas/calav-esperck_25k_gw_thetasWin.gz.pestPG 0.0110059 0.00909971 -0.189397 1653359
results_thetas/calav-jesusmariack_25k_gw_thetasWin.gz.pestPG 0.00700094 0.00705115 -inf 2282951
results_thetas/deer-clearck_25k_gw_thetasWin.gz.pestPG 0.00637355 0.00683845 -inf 2960390
results_thetas/deer-clec_25k_gw_thetasWin.gz.pestPG 0.00667736 0.00729692 -inf 2884523
results_thetas/dry-cantua_al_25k_gw_thetasWin.gz.pestPG 0.00974093 0.00885229 -0.138152 2602884
results_thetas/eel_25k_gw_thetasWin.gz.pestPG 0.00956313 0.00871002 -0.0896699 3013109
results_thetas/fea-beanck_25k_gw_thetasWin.gz.pestPG 0.00658411 0.00627125 -0.0829338 2997426
results_thetas/fea-spanish-bgulch_25k_gw_thetasWin.gz.pestPG 0.00584244 0.00620647 -0.0525422 2982437
results_thetas/fea-spanishck_25k_gw_thetasWin.gz.pestPG 0.00593699 0.00629128 -0.0530892 3003724
results_thetas/fea-spanish-rockck_25k_gw_thetasWin.gz.pestPG 0.0107487 0.0107487 0 1502052
results_thetas/fea-spanish-silverck_25k_gw_thetasWin.gz.pestPG 0.00690757 0.00737593 -0.0627625 2848138
results_thetas/fea-spanish-wapaunsie_25k_gw_thetasWin.gz.pestPG 0.00931324 0.00931324 0 2664597
results_thetas/klam-aiken_25k_gw_thetasWin.gz.pestPG 0.00996976 0.00888643 -0.147494 2526832
results_thetas/lagun-halleckck_25k_gw_thetasWin.gz.pestPG 0.0101164 0.00877378 -0.158467 2215258
results_thetas/mad-mapleck_25k_gw_thetasWin.gz.pestPG 0.00865369 0.00822724 -0.0780432 3011075
results_thetas/mad-redwoodck2_25k_gw_thetasWin.gz.pestPG 0.0098526 0.00853373 -0.123256 2994271
results_thetas/mad-redwoodck_25k_gw_thetasWin.gz.pestPG 0.0104134 0.00846876 -0.138927 2984894
results_thetas/mat-bearriver_25k_gw_thetasWin.gz.pestPG 0.00938284 0.00827506 -0.0982564 2966968
results_thetas/mat-headwatermattole_25k_gw_thetasWin.gz.pestPG 0.012673 0.0103164 -0.183805 2313420
results_thetas/mat-lowermattole_25k_gw_thetasWin.gz.pestPG 0.00872648 0.00856455 -0.074383 2913429
results_thetas/mfa-amec_25k_gw_thetasWin.gz.pestPG 0.00767047 0.00737332 -0.0881017 2889099
results_thetas/mfa-gasc_25k_gw_thetasWin.gz.pestPG 0.00691729 0.00745723 -0.0412978 2984521
results_thetas/mfa-todc_25k_gw_thetasWin.gz.pestPG 0.00660657 0.00710184 -0.0558873 3046314
results_thetas/mfy-oregck_25k_gw_thetasWin.gz.pestPG 0.00690194 0.00697008 -0.0690999 2990408
results_thetas/mfy-us-oh_25k_gw_thetasWin.gz.pestPG 0.00687109 0.00746206 -0.0487122 3063200
